StartDate,Start Date,,,,,,,,,,,,
year,year,,,,,,,,,,,,
month,month,,,,,,,,,,,,
date,date,,,,,,,,,,,,
EndDate,End Date,,,,,,,,,,,,
ResponseId,Response ID,,,,,,,,,,,,
Q2,MFO Name (the MFO serving as primary contact):,,,,,,,,,,,,
Q3,MFO's County (MFO serving as primary contact),,,,,,,,,,,,
Q4,MFO E-mail address (MFO serving as primary contact):,,,,,,,,,,,,
Q44,List names of additional MFOs on visit:,,,,,,,,,,,,
Q45,List email addresses (if known) of the additional MFOs on visit:,,,,,,,,,,,,
Q5,Date of Visit (mm/dd/yyyy):,,,,,,,,,,,,
Q6,Woodland Owner Name:,,,,,,,,,,,,
Q7,Residence Street Address:,,,,,,,,,,,,
Q8,City:,,,,,,,,,,,,
Q33...16,State:,,,,,,,,,,,,
Q32,Zip Code,,,,,,,,,,,,
Q9,Phone#: Example: XXX-XXX-XXXX,,,,,,,,,,,,
Q10,Woodland Owner E-Mail:,,,,,,,,,,,,
Q11,Number of wooded acres: (total not farmed; numbers only please),,,,,,,,,,,,
Q14,Number of years they have personally owned and controlled the land (number only):,,,,,,,,,,,,
Q12,"Town of woodlot, if different from residence address:",,,,,,,,,,,,
Q13,County of the property you visited:,,,,,,,,,,,,
Q38_1...24,How did the owner first learn about the MFO Volunteer Program - Newspaper,,,,,,,,,,,,
Q38_2...25,How did the owner first learn about the MFO Volunteer Program - Postcard,,,,,,,,Timber, = ,timber,",","Timber = timber,"
Q38_3...26,How did the owner first learn about the MFO Volunteer Program - Local fair,,,,,,,,Recreation, = ,recreation,",","Recreation = recreation,"
Q38_4...27,How did the owner first learn about the MFO Volunteer Program - Cornell Cooperative Extension,,,,,,,,Privacy_Rural_Setting, = ,privacy_rural,",","Privacy_Rural_Setting = privacy_rural,"
Q38_5...28,How did the owner first learn about the MFO Volunteer Program - NY Forest Owners Association,,,,,,,,Part_of_Property, = ,property,",","Part_of_Property = property,"
Q38_6,How did the owner first learn about the MFO Volunteer Program - Forester,,,,,,,,Firewood , = ,firewood,",","Firewood  = firewood,"
Q38_7,How did the owner first learn about the MFO Volunteer Program - Agency staff,,,,,,,,Wildlife_Viewing, = ,wildlife_view,",","Wildlife_Viewing = wildlife_view,"
Q38_8,How did the owner first learn about the MFO Volunteer Program - Other,,,,,,,,Hunting, = ,hunting,",","Hunting = hunting,"
Q31,"If the owner learned through some other source, please describe that here.",,,,,,,,Agroforestry, = ,agrof,",","Agroforestry = agrof,"
Q54_1,Reason: - Timber,,,,Timber,,,,Other, = ,other_why,",","Other = other_why,"
Q54_2,Reason: - Recreation,,,,Recreation,,,,,,,,
Q54_3,Reason: - Privacy/Rural Setting,,,,Privacy/Rural Setting,,,,,,,,
Q54_4,Reason: - Part of the Property,,,,Part of the Property,,,,,,,,
Q54_5,Reason: - Firewood,,,,Firewood,,,,,,,,
Q54_6,Reason: - Wildlife Viewing,,,,Wildlife Viewing,,,,,,,,
Q54_7,Reason: - Hunting,,,,Hunting,,,,,,,,
Q54_8,Reason: - Maple/Mushrooms/Silvopasture/Ginseng,,,,Maple/Mushrooms/Silvopasture/Ginseng,,,,,,,,
Q54_9,Reason: - Other,,,,Other,,,,,,,,
Q39,"If you checked Other above, please let us know what other reason(s) they own the land:",,,,,,,,,,,,
Q18_1,"Do they have a management plan for their woodland? - Yes, written",,,,,,,,,,,,
Q18_2,"Do they have a management plan for their woodland? - Yes, not written",,,,,,,,,,,,
Q18_3,"Do they have a management plan for their woodland? - No, intend to",,,,,,,,,,,,
Q18_4,Do they have a management plan for their woodland? - No,,,,,,,,,,,,
Q38_1...47,Professional Services - Contact a forester,,,,,,,,,,,,
Q38_2...48,Professional Services - Contact a surveyor,,,,,,,,,,,,
Q38_3...49,Professional Services - Contact a logger,,,,,,,,,,,,
Q38_4...50,Professional Services - Contact insect control specialist,,,,,,,,,,,,
Q38_5...51,Professional Services - Contact plant control specialist,,,,,,,,,,,,
Q39_1,"Producing a product (either at commercial, personal use, or hobby scale of production) - Commercial harvest (sawtimber, poles, pulpwood, etc.)",,,,,,,,,,,,
